molecular_weight,logp,h_bond_donors,h_bond_acceptors,rotatable_bonds,tpsa,aromatic_rings,ring_count,heavy_atoms,molar_refractivity,lipinski_violations,canonical_smiles,activity_probability,nn_similarity_to_train,applicability_domain
477.5360000000002,3.024400000000001,1,9,4,105.19,6,7,36,138.74269999999987,0,Cn1cnc2cc(Nc3ncnc4ccc(N5CCN(c6ccn7ncnc7c6)CC5)nc34)ccc21,0.9828099,0.5238095238095238,modérément nouveau
464.4970000000002,2.1803999999999997,1,10,4,117.56,6,7,35,131.01569999999998,0,c1nc(Nc2ccn3ncnc3c2)c2nc(N3CCN(c4ccn5ncnc5c4)CC3)ccc2n1,0.97342616,0.5526315789473685,modérément nouveau
477.53600000000023,3.0244000000000018,1,9,4,105.19,6,7,36,138.74269999999987,0,Cn1cnc2cc(Nc3ccc4ncnc(N5CCN(c6ccn7ncnc7c6)CC5)c4n3)ccc21,0.9448487,0.39325842696629215,modérément nouveau
492.5470000000003,2.9564000000000012,0,9,4,102.39,6,7,37,141.00599999999986,0,COc1ncnc2cc(-c3ccc4c(c3)ncn4C)c(N3CCN(c4ccn5ncnc5c4)CC3)nc12,0.94028175,0.4175824175824176,modérément nouveau
479.5080000000003,2.1123999999999996,0,10,4,114.76,6,7,36,133.27899999999997,0,COc1cc2ncnc(-c3ccn4ncnc4c3)c2nc1N1CCN(c2ccn3ncnc3c2)CC1,0.93402904,0.4482758620689655,modérément nouveau
517.4790000000003,3.1225999999999994,0,9,3,105.53,6,7,38,131.72899999999996,1,FC(F)(F)c1cc2ncnc(-c3ccn4ncnc4c3)c2nc1N1CCN(c2ccn3ncnc3c2)CC1,0.929543,0.3473684210526316,extrapolation (prudence)
479.5080000000003,2.1124,0,10,4,114.76,6,7,36,133.27899999999997,0,COc1ncnc2cc(-c3ccn4ncnc4c3)c(N3CCN(c4ccn5ncnc5c4)CC3)nc12,0.91804695,0.3804347826086957,modérément nouveau
464.4970000000001,2.1803999999999997,1,10,4,117.56,6,7,35,131.01569999999998,0,c1nc(N2CCN(c3ccn4ncnc4c3)CC2)c2nc(Nc3ccn4ncnc4c3)ccc2n1,0.9055327,0.38823529411764707,modérément nouveau
517.4790000000004,3.1226000000000003,0,9,3,105.53,6,7,38,131.72899999999996,1,FC(F)(F)c1ncnc2cc(-c3ccn4ncnc4c3)c(N3CCN(c4ccn5ncnc5c4)CC3)nc12,0.8971731,0.3473684210526316,extrapolation (prudence)
490.9300000000002,3.862200000000003,0,8,4,84.57000000000001,5,6,35,131.702,0,COc1ccc(-c2ncnc3ccc(N4CCN(c5ccn6ncnc6c5)CC4)nc23)c(Cl)c1F,0.8919599,0.4943820224719101,modérément nouveau
551.6740000000002,4.247720000000004,0,7,4,60.97,5,8,41,160.76599999999965,1,Cc1c(N2CC3CCC(C2)N3c2ccc3c(c2)ncn3C)ccc(N2CCN(c3ccn4ncnc4c3)CC2)c1F,0.86972916,0.3177570093457944,extrapolation (prudence)
496.5790000000003,1.761299999999999,0,9,4,98.89,4,7,37,140.83399999999986,0,C=CC(=O)N1CCN(c2ncnc3ccc(N4CCN(c5ccn6ncnc6c5)CC4)nc23)C2(CC2)C1,0.8696012,0.5113636363636364,modérément nouveau
572.0920000000002,4.592700000000004,0,7,4,60.97000000000001,5,8,41,161.0389999999996,1,Cn1cnc2cc(N3C4CCC3CN(c3ccc(N5CCN(c6ccn7ncnc7c6)CC5)c(F)c3Cl)C4)ccc21,0.86644727,0.32075471698113206,extrapolation (prudence)
572.6810000000003,3.1400000000000015,0,10,4,99.64,6,9,43,166.9839999999996,1,Cn1cnc2cc(N3CCN(c4ccc5ncnc(N6CCN(c7ccn8ncnc8c7)CC6)c5n4)C4(CC4)C3)ccc21,0.8649494,0.38461538461538464,modérément nouveau
538.6350000000003,3.4037200000000025,0,8,4,73.34,5,8,40,153.03899999999973,1,Cc1c(N2CC3CCC(C2)N3c2ccn3ncnc3c2)ccc(N2CCN(c3ccn4ncnc4c3)CC2)c1F,0.8382893,0.34375,extrapolation (prudence)
