AID,SID,CID,Activity Outcome,Target Accession,Activity Name,Activity Qualifier,Activity Value [uM],Assay Name,Assay Type,PubMed ID,RNAi
1433,50100089,16007391,Inactive,NP_001005862,,,4.3,Kinase Inhibitor Selectivity Profiling Assay,Other,,
1433,50100094,156414,Active,NP_001005862,,,0.087,Kinase Inhibitor Selectivity Profiling Assay,Other,,
1433,50100096,9874913,Active,NP_001005862,,,0.043,Kinase Inhibitor Selectivity Profiling Assay,Other,,
1433,50100097,3062316,Active,NP_001005862,,,1.4,Kinase Inhibitor Selectivity Profiling Assay,Other,,
1433,50100098,6445562,Active,NP_001005862,,,0.5,Kinase Inhibitor Selectivity Profiling Assay,Other,,
1433,50100103,123631,Inactive,NP_001005862,,,3.5,Kinase Inhibitor Selectivity Profiling Assay,Other,,
1433,50100107,208908,Active,NP_001005862,,,0.007,Kinase Inhibitor Selectivity Profiling Assay,Other,,
1433,50100123,3081361,Active,NP_001005862,,,2.6,Kinase Inhibitor Selectivity Profiling Assay,Other,,
1622,56478506,,Inactive,,,,,RNAi Global Initiative pilot viability screen of human kinase and cell cycle genes,Screening,,1
1904,85105457,,Unspecified,,,,,siRNA Circadian Assay,Other,,1
1904,85112680,,Unspecified,,,,,siRNA Circadian Assay,Other,,1
1982,48409448,2858522,Inactive,NP_001005862,,,,Kinase inhibition selectivity assay for compound SID-48409448,Other,,
493040,103904189,49830272,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904191,49830274,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904192,49830275,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904193,49830272,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904194,49830276,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904195,49830277,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904196,49830278,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904197,49830279,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904201,11565683,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904202,49830281,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904203,44415997,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904204,49830282,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904205,44415977,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904206,49830283,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904209,49830286,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904210,49830287,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904211,49830288,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904212,49830289,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904214,49830291,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904215,49830292,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904216,49830293,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904272,46207586,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904275,10043997,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904276,6539985,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904277,9868229,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904278,21907506,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904279,11156716,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904280,18451176,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904281,18451223,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904283,49830348,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904284,49830349,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904285,18451199,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904286,18451197,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904287,49830350,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904288,24894620,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904289,24894081,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904290,49830351,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904292,49830352,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904293,49830353,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904294,6540003,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904295,18451374,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904296,49830354,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904297,11442914,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904300,18451149,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904302,18451135,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904303,18451141,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904304,18450918,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904307,18451208,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904308,18451073,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904309,49830356,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904310,49830357,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904313,49830358,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904314,49830359,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904316,49830361,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904319,11306240,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904320,49830364,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904321,18450667,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904327,18451363,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904328,16125042,Active,,,,,Navigating the Kinome,Other,21336281,
493040,103904329,9950716,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904330,49830368,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904331,49830369,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904332,11189864,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904333,11314310,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904334,49830370,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904335,11856204,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904337,5329880,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904338,11710853,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904339,11588815,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904340,11485656,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904342,11710853,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904346,16043242,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904347,18451372,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904348,6540027,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904349,49830375,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904350,49830376,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904351,11463885,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904352,49830377,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904353,49830378,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904355,16122934,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904356,49830379,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904357,10409523,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904358,49830380,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904359,18450541,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904360,5329902,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904361,49830381,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904362,18451366,Inactive,,,,,Navigating the Kinome,Other,21336281,
493040,103904363,49830382,Inactive,,,,,Navigating the Kinome,Other,21336281,
