COSMIC_ID,CELL_LINE_NAME,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,LN_IC50,AUC
749709,HCC1954,Gefitinib,EGFR,EGFR signaling,3.480012,0.985315
749710,HCC1143,Gefitinib,EGFR,EGFR signaling,2.83504,0.950233
749711,HCC1187,Gefitinib,EGFR,EGFR signaling,3.531042,0.986127
749712,HCC1395,Gefitinib,EGFR,EGFR signaling,3.87102,0.978491
749713,HCC1599,Gefitinib,EGFR,EGFR signaling,4.4035,0.979077
749714,HCC1937,Gefitinib,EGFR,EGFR signaling,2.879339,0.948374
749715,HCC2157,Gefitinib,EGFR,EGFR signaling,0.800449,0.907862
749716,HCC2218,Gefitinib,EGFR,EGFR signaling,3.2885839999999997,0.986914
749717,HCC38,Gefitinib,EGFR,EGFR signaling,4.625195,0.983473
905945,T47D,Gefitinib,EGFR,EGFR signaling,4.099682,0.984876
905946,MCF7,Gefitinib,EGFR,EGFR signaling,4.60075,0.980019
905951,BT-549,Gefitinib,EGFR,EGFR signaling,4.565935,0.976488
905957,Hs-578-T,Gefitinib,EGFR,EGFR signaling,4.162809,0.98048
905960,MDA-MB-231,Gefitinib,EGFR,EGFR signaling,3.844226,0.984625
906801,BT-20,Gefitinib,EGFR,EGFR signaling,3.46637,0.98979
906812,COLO-824,Gefitinib,EGFR,EGFR signaling,1.966537,0.935822
906826,CAL-120,Gefitinib,EGFR,EGFR signaling,5.555368,0.968046
906844,DU-4475,Gefitinib,EGFR,EGFR signaling,1.980587,0.979665
906851,EFM-19,Gefitinib,EGFR,EGFR signaling,4.322490999999999,0.981239
906862,EVSA-T,Gefitinib,EGFR,EGFR signaling,3.1278669999999997,0.988046
907045,HCC1419,Gefitinib,EGFR,EGFR signaling,2.392578,0.964433
907046,HCC1569,Gefitinib,EGFR,EGFR signaling,2.9370179999999997,0.966795
907048,HCC70,Gefitinib,EGFR,EGFR signaling,3.166692,0.980266
908120,MDA-MB-175-VII,Gefitinib,EGFR,EGFR signaling,-0.4454789999999999,0.7076739999999999
908121,MDA-MB-361,Gefitinib,EGFR,EGFR signaling,3.048554,0.977493
908122,MDA-MB-453,Gefitinib,EGFR,EGFR signaling,1.802387,0.929379
908123,MDA-MB-468,Gefitinib,EGFR,EGFR signaling,1.829364,0.928649
908151,MRK-nu-1,Gefitinib,EGFR,EGFR signaling,3.1184499999999997,0.990676
909256,OCUB-M,Gefitinib,EGFR,EGFR signaling,3.151116,0.984056
909778,UACC-893,Gefitinib,EGFR,EGFR signaling,2.763122,0.961773
909907,ZR-75-30,Gefitinib,EGFR,EGFR signaling,5.284396999999999,0.97671
910704,AU565,Gefitinib,EGFR,EGFR signaling,1.140302,0.909538
910852,CAL-85-1,Gefitinib,EGFR,EGFR signaling,3.833117,0.981017
910910,UACC-812,Gefitinib,EGFR,EGFR signaling,3.743174,0.969775
910927,CAL-51,Gefitinib,EGFR,EGFR signaling,3.12172,0.968485
910948,MFM-223,Gefitinib,EGFR,EGFR signaling,5.136019,0.976879
924106,CAL-148,Gefitinib,EGFR,EGFR signaling,3.345837,0.98256
924240,MDA-MB-415,Gefitinib,EGFR,EGFR signaling,2.769355,0.976988
925338,MDA-MB-157,Gefitinib,EGFR,EGFR signaling,4.1000689999999995,0.986455
946359,BT-474,Gefitinib,EGFR,EGFR signaling,3.338498,0.950842
946382,CAMA-1,Gefitinib,EGFR,EGFR signaling,3.5399149999999997,0.984138
949093,BT-483,Gefitinib,EGFR,EGFR signaling,6.467383,0.969399
